customer_id,segment_true,age,gender,income,region,tenure_years,checking_balance,savings_balance,money_market_balance,cd_balance,mortgage_balance,heloc_balance,auto_loan_balance,personal_loan_balance,credit_card_balance,credit_card_limit,credit_utilization,investment_balance,total_deposits,total_lending,total_relationship_value,product_count,monthly_transactions,avg_transaction_amount,recency_days,branch_visits_monthly,call_center_monthly,digital_score,monthly_logins,mobile_pct,features_adopted,monthly_revenue,annual_revenue,churn_probability,life_stage
B000001,Established Families,49,F,84041,Northeast,9.6,6161.67,26386.76,0.0,0.0,438866.65,0.0,11363.87,0.0,5665.58,17168.42,0.33,307867.18,32548.43,455896.1,796311.71,6,43,90.74,14,2,0,50.6,10,31.4,7,591.26,7095.12,0.0633,Building
B000002,Mature Traditionalists,65,F,41891,West,13.1,17574.86,84564.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102139.7,0.0,102139.7,2,19,80.05,4,3,1,36.3,14,34.4,4,197.21,2366.52,0.0817,Peak Earning
B000003,Young Professionals,33,M,45248,West,3.2,9068.57,5967.55,0.0,0.0,0.0,0.0,35208.62,0.0,1763.81,4716.08,0.374,0.0,15036.12,36972.43,52008.55,4,64,40.09,10,0,2,90.4,31,84.3,9,133.79,1605.48,0.1221,Building
B000004,Digital Enthusiasts,27,F,73696,Southeast,3.3,14333.27,4203.17,608.94,0.0,0.0,0.0,0.0,0.0,6545.27,24699.15,0.265,0.0,19145.38,6545.27,25690.65,4,105,42.72,8,0,1,93.1,24,80.5,10,89.84,1078.08,0.077,Building
B000005,Wealth Builders,52,F,341362,Southeast,10.5,47321.15,59114.18,0.0,32430.4,99047.14,0.0,0.0,0.0,4005.16,16215.22,0.247,337707.1,138865.73,103052.3,579625.13,6,45,358.99,0,0,0,78.9,27,61.9,10,438.81,5265.72,0.011,Peak Earning
B000006,Mature Traditionalists,63,M,58758,Northeast,33.4,42213.66,107120.63,0.0,0.0,0.0,0.0,0.0,0.0,755.39,5513.77,0.137,0.0,149334.29,755.39,150089.68,3,32,105.57,2,4,0,27.2,1,11.3,3,313.23,3758.76,0.057,Retired
B000007,Digital Enthusiasts,22,F,106892,Southwest,1.4,6364.04,10970.51,1784.9,0.0,0.0,0.0,0.0,0.0,1819.11,5529.22,0.329,0.0,19119.45,1819.11,20938.56,4,103,47.68,3,2,1,88.7,26,83.2,10,50.64,607.68,0.1656,Pre-Retirement
B000008,At-Risk / Disengaging,63,M,25463,West,9.2,1398.92,1449.98,0.0,0.0,0.0,0.0,0.0,0.0,5689.8,7576.3,0.751,0.0,2848.9,5689.8,8538.7,3,13,109.42,26,2,2,25.9,3,24.8,3,42.51,510.12,0.3816,Building
B000009,At-Risk / Disengaging,45,F,44498,Southwest,5.5,2428.22,1335.01,0.0,0.0,0.0,0.0,0.0,12708.75,8224.24,10736.61,0.766,0.0,3763.23,20932.99,24696.22,4,12,126.05,3,4,0,6.1,0,16.4,0,112.82,1353.84,0.3565,Peak Earning
B000010,Wealth Builders,44,M,220963,Northeast,16.9,16647.8,145144.29,0.0,0.0,144118.9,27517.0,0.0,0.0,2544.53,10558.22,0.241,279405.26,161792.09,174180.43,615377.78,6,20,329.64,9,0,1,73.2,14,61.0,10,578.0,6936.0,0.0512,Starting Out
