customer_id,product,open_date,status
B000001,Checking,2022-10-10,Active
B000001,Savings,2016-11-02,Active
B000001,Mortgage,2016-09-22,Active
B000001,Auto Loan,2017-10-12,Active
B000001,Credit Card,2021-03-01,Active
B000001,Investment Account,2022-07-22,Active
B000002,Checking,2020-11-13,Active
B000002,Savings,2014-10-23,Active
B000003,Checking,2024-03-04,Active
B000003,Savings,2025-01-26,Active
B000003,Auto Loan,2024-11-20,Active
B000003,Credit Card,2025-01-21,Active
B000004,Checking,2024-10-27,Active
B000004,Savings,2024-04-26,Active
B000004,Money Market,2022-12-03,Active
B000004,Credit Card,2024-05-09,Active
B000005,Checking,2017-12-18,Active
B000005,Savings,2022-10-26,Active
B000005,CD,2019-03-07,Active
B000005,Mortgage,2021-04-11,Active
B000005,Credit Card,2018-03-15,Active
B000005,Investment Account,2021-08-29,Active
B000006,Checking,2001-11-27,Active
B000006,Savings,2015-11-11,Active
B000006,Credit Card,2013-09-14,Active
B000007,Checking,2025-05-24,Active
B000007,Savings,2025-08-24,Active
B000007,Money Market,2025-01-13,Active
B000007,Credit Card,2025-06-30,Active
B000008,Checking,2018-02-14,Active
B000008,Savings,2018-02-12,Active
B000008,Credit Card,2017-10-01,Active
B000009,Checking,2022-05-12,Active
B000009,Savings,2021-12-27,Active
B000009,Personal Loan,2021-08-24,Active
B000009,Credit Card,2020-09-07,Active
B000010,Checking,2015-03-18,Active
B000010,Savings,2015-06-05,Active
B000010,Mortgage,2018-12-22,Active
B000010,HELOC,2015-11-23,Active
B000010,Credit Card,2016-04-23,Active
B000010,Investment Account,2013-09-28,Active
B000011,Checking,2024-03-01,Active
B000011,Savings,2023-09-18,Active
B000011,Money Market,2023-12-21,Active
B000011,CD,2023-11-06,Active
B000011,Credit Card,2024-10-17,Active
B000012,Checking,2024-05-04,Active
B000012,Savings,2023-07-19,Active
B000012,Credit Card,2023-05-13,Active
B000013,Checking,2018-03-01,Active
B000013,Savings,2022-04-21,Active
B000013,CD,2018-05-15,Active
B000013,Credit Card,2021-12-01,Active
B000014,Checking,2024-11-17,Active
B000014,Savings,2024-05-04,Active
B000014,Auto Loan,2024-07-22,Active
B000014,Personal Loan,2024-02-08,Active
B000014,Credit Card,2025-02-04,Active
B000015,Checking,2023-08-12,Active
B000015,Savings,2019-06-26,Active
B000015,Credit Card,2019-10-01,Active
B000016,Checking,2023-09-19,Active
B000016,Savings,2024-03-24,Active
B000016,Money Market,2022-10-26,Active
B000016,Credit Card,2021-10-24,Active
B000017,Checking,2021-06-13,Active
B000017,Savings,2020-08-06,Active
B000017,Mortgage,2021-05-21,Active
B000017,Auto Loan,2022-01-26,Active
B000017,Credit Card,2021-10-28,Active
B000017,Investment Account,2019-03-08,Active
